"","longname","name","link","s2_formula","s2_formula_mathml"
"11","Datt1","Datt1","http://www.indexdatabase.de/db/i-single.php?id=150","(band_8-band_5)/(band_8-band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">850nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">710nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">850nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">680nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"12","Datt4","Datt4","http://www.indexdatabase.de/db/i-single.php?id=153","(band_4)/(band_3*band_5)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">672nm</mi>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">550nm</mi>
      <mo>·</mo>
      <mi mathcolor=""#443399"">708nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"13","Datt6","Datt6","http://www.indexdatabase.de/db/i-single.php?id=155","(band_8a)/(band_3*band_5)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">860nm</mi>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">550nm</mi>
      <mo>·</mo>
      <mi mathcolor=""#443399"">708nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"14","Difference 678/500","D678-500","http://www.indexdatabase.de/db/i-single.php?id=481","band_4-band_2","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mi mathcolor=""#443399"">678nm</mi>
   <mo>-</mo>
   <mi mathcolor=""#443399"">500nm</mi>
  </mrow>
 </mrow>
</math>"
"15","Difference 800/550","D800-550","http://www.indexdatabase.de/db/i-single.php?id=398","band_8-band_3","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mi mathcolor=""#443399"">800nm</mi>
   <mo>-</mo>
   <mi mathcolor=""#443399"">550nm</mi>
  </mrow>
 </mrow>
</math>"
"16","Difference 800/680","D800-680","http://www.indexdatabase.de/db/i-single.php?id=403","band_8-band_4","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mi mathcolor=""#443399"">800nm</mi>
   <mo>-</mo>
   <mi mathcolor=""#443399"">680nm</mi>
  </mrow>
 </mrow>
</math>"
"17","Difference 833/658","D833-658","http://www.indexdatabase.de/db/i-single.php?id=551","band_8-band_4","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mi mathcolor=""#443399"">833nm</mi>
   <mo>-</mo>
   <mi mathcolor=""#443399"">658nm</mi>
  </mrow>
 </mrow>
</math>"
"18","Difference NIR/Green Green Difference Vegetation Index","GDVI","http://www.indexdatabase.de/db/i-single.php?id=27","band_8-band_3","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mi mathcolor=""#443399"">NIR</mi>
   <mo>-</mo>
   <mi mathcolor=""#443399"">G</mi>
  </mrow>
 </mrow>
</math>"
"19","Differenced Vegetation Index MSS","DVIMSS","http://www.indexdatabase.de/db/i-single.php?id=569","2.4*band_9-band_4","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mn>2.4</mn>
    <mo>&amp;InvisibleTimes;</mo>
    <mi mathcolor=""#443399"">[800:1100]</mi>
   </mrow>
   <mo>-</mo>
   <mi mathcolor=""#443399"">[600:700]</mi>
  </mrow>
 </mrow>
</math>"
"20","Enhanced Vegetation Index","EVI","http://www.indexdatabase.de/db/i-single.php?id=16","2.5*(band_8-band_4)/((band_8+6*band_4-7.5*band_2)+1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mn>2.5</mn>
   <mo>&amp;InvisibleTimes;</mo>
   <mfrac>
    <mrow>
     <mrow>
      <mrow>
       <mi mathcolor=""#443399"">NIR</mi>
       <mo>-</mo>
       <mi mathcolor=""#443399"">RED</mi>
      </mrow>
     </mrow>
    </mrow>
    <mrow>
     <mrow>
      <mrow>
       <mrow>
        <mo>(</mo>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
          <mo>+</mo>
          <mrow>
           <mrow>
            <mn>6</mn>
            <mo>&amp;InvisibleTimes;</mo>
            <mi mathcolor=""#443399"">RED</mi>
           </mrow>
           <mo>-</mo>
           <mrow>
            <mn>7.5</mn>
            <mo>&amp;InvisibleTimes;</mo>
            <mi mathcolor=""#443399"">BLUE</mi>
           </mrow>
          </mrow>
         </mrow>
        </mrow>
        <mo>)</mo>
       </mrow>
       <mo>+</mo>
       <mn>1</mn>
      </mrow>
     </mrow>
    </mrow>
   </mfrac>
  </mrow>
 </mrow>
</math>"
"21","Enhanced Vegetation Index 2 -2","EVI2","http://www.indexdatabase.de/db/i-single.php?id=576","2.5*(band_8-band_4)/(band_8+2.4*band_4+1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mn>2.5</mn>
   <mo>&amp;InvisibleTimes;</mo>
   <mfrac>
    <mrow>
     <mrow>
      <mrow>
       <mi mathcolor=""#443399"">NIR</mi>
       <mo>-</mo>
       <mi mathcolor=""#443399"">RED</mi>
      </mrow>
     </mrow>
    </mrow>
    <mrow>
     <mrow>
      <mrow>
       <mi mathcolor=""#443399"">NIR</mi>
       <mo>+</mo>
       <mrow>
        <mrow>
         <mn>2.4</mn>
         <mo>&amp;InvisibleTimes;</mo>
         <mi mathcolor=""#443399"">RED</mi>
        </mrow>
        <mo>+</mo>
        <mn>1</mn>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
   </mfrac>
  </mrow>
 </mrow>
</math>"
"22","Ferric iron, Fe2+","Fe2+","http://www.indexdatabase.de/db/i-single.php?id=18","(band_12)/(band_8)+(band_3)/(band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mfrac>
    <mrow>
     <mi mathcolor=""#443399"">[2145:2185]</mi>
    </mrow>
    <mrow>
     <mi mathcolor=""#443399"">[760:860]</mi>
    </mrow>
   </mfrac>
   <mo>+</mo>
   <mfrac>
    <mrow>
     <mi mathcolor=""#443399"">[520:600]</mi>
    </mrow>
    <mrow>
     <mi mathcolor=""#443399"">[630:690]</mi>
    </mrow>
   </mfrac>
  </mrow>
 </mrow>
</math>"
"23","Ferric iron, Fe3+","Fe3+","http://www.indexdatabase.de/db/i-single.php?id=19","(band_4)/(band_3)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">[630:690]</mi>
   </mrow>
   <mrow>
    <mi mathcolor=""#443399"">[520:600]</mi>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"24","Global Vegetation Moisture Index","GVMI","http://www.indexdatabase.de/db/i-single.php?id=372","((band_8+0.1)-(band_12+0.02))/((band_8+0.1)+(band_12+0.02))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">NIR</mi>
         <mo>+</mo>
         <mn>0.1</mn>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>-</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">SWIR</mi>
         <mo>+</mo>
         <mn>0.02</mn>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">NIR</mi>
         <mo>+</mo>
         <mn>0.1</mn>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>+</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">SWIR</mi>
         <mo>+</mo>
         <mn>0.02</mn>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"25","Green atmospherically resistant vegetation index","GARI","http://www.indexdatabase.de/db/i-single.php?id=363","(band_8-(band_3-(band_2-band_4)))/(band_8-(band_3+(band_2-band_4)))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>-</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">GREEN</mi>
         <mo>-</mo>
         <mrow>
          <mo>(</mo>
          <mrow>
           <mrow>
            <mi mathcolor=""#443399"">BLUE</mi>
            <mo>-</mo>
            <mi mathcolor=""#443399"">RED</mi>
           </mrow>
          </mrow>
          <mo>)</mo>
         </mrow>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>-</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">GREEN</mi>
         <mo>+</mo>
         <mrow>
          <mo>(</mo>
          <mrow>
           <mrow>
            <mi mathcolor=""#443399"">BLUE</mi>
            <mo>-</mo>
            <mi mathcolor=""#443399"">RED</mi>
           </mrow>
          </mrow>
          <mo>)</mo>
         </mrow>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"26","Green leaf index","GLI","http://www.indexdatabase.de/db/i-single.php?id=375","(2*band_3-band_4-band_2)/(2*band_3+band_4+band_2)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mn>2</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mi mathcolor=""#443399"">GREEN</mi>
      </mrow>
      <mo>-</mo>
      <mrow>
       <mi mathcolor=""#443399"">RED</mi>
       <mo>-</mo>
       <mi mathcolor=""#443399"">BLUE</mi>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mn>2</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mi mathcolor=""#443399"">GREEN</mi>
      </mrow>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">RED</mi>
       <mo>+</mo>
       <mi mathcolor=""#443399"">BLUE</mi>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"27","Green Normalized Difference Vegetation Index","GNDVI","http://www.indexdatabase.de/db/i-single.php?id=28","(band_8-band_3)/(band_8+band_3)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">[540:570]</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">[540:570]</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
