"","longname","name","link","s2_formula","s2_formula_mathml"
"28","Green-Blue NDVI","GBNDVI","http://www.indexdatabase.de/db/i-single.php?id=186","(band_8-(band_3+band_2))/(band_8+(band_3+band_2))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>-</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">GREEN</mi>
         <mo>+</mo>
         <mi mathcolor=""#443399"">BLUE</mi>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>+</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">GREEN</mi>
         <mo>+</mo>
         <mi mathcolor=""#443399"">BLUE</mi>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"29","Green-Red NDVI","GRNDVI","http://www.indexdatabase.de/db/i-single.php?id=185","(band_8-(band_3+band_4))/(band_8+(band_3+band_4))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>-</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">GREEN</mi>
         <mo>+</mo>
         <mi mathcolor=""#443399"">RED</mi>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>+</mo>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">GREEN</mi>
         <mo>+</mo>
         <mi mathcolor=""#443399"">RED</mi>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"30","Infrared percentage vegetation index","IPVI","http://www.indexdatabase.de/db/i-single.php?id=35","((band_8)/(band_8+band_4))/(2)*(((band_4-band_3)/(band_4+band_3))+1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mfrac>
    <mrow>
     <mrow>
      <mfrac>
       <mrow>
        <mi mathcolor=""#443399"">NIR</mi>
       </mrow>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
          <mo>+</mo>
          <mi mathcolor=""#443399"">RED</mi>
         </mrow>
        </mrow>
       </mrow>
      </mfrac>
     </mrow>
    </mrow>
    <mrow>
     <mn>2</mn>
    </mrow>
   </mfrac>
   <mo>&amp;InvisibleTimes;</mo>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NDVI</mi>
      <mo>+</mo>
      <mn>1</mn>
     </mrow>
    </mrow>
    <mo>)</mo>
   </mrow>
  </mrow>
 </mrow>
</math>"
"31","Intensity","I","http://www.indexdatabase.de/db/i-single.php?id=36","((1)/(30.5))*(band_5+band_3+band_1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mfrac>
      <mrow>
       <mn>1</mn>
      </mrow>
      <mrow>
       <mrow>
        <mn>30.5</mn>
       </mrow>
      </mrow>
     </mfrac>
    </mrow>
    <mo>)</mo>
   </mrow>
   <mo>&amp;InvisibleTimes;</mo>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">R</mi>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">G</mi>
       <mo>+</mo>
       <mi mathcolor=""#443399"">B</mi>
      </mrow>
     </mrow>
    </mrow>
    <mo>)</mo>
   </mrow>
  </mrow>
 </mrow>
</math>"
"32","Leaf Chlorophyll Index","LCI","http://www.indexdatabase.de/db/i-single.php?id=109","(band_8-band_5)/(band_8+band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">[850]</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">[710]</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">[850]</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">[680]</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"33","MCARI/OSAVI","MCARI-OSAVI","http://www.indexdatabase.de/db/i-single.php?id=192","((band_5-band_4)-0.2*(band_5-band_3)*((band_5)/(band_4)))/((1+0.16)*(band_8-band_4)/(band_8+band_4+0.16))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">700nm</mi>
         <mo>-</mo>
         <mi mathcolor=""#443399"">670nm</mi>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>-</mo>
      <mrow>
       <mn>0.2</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mrow>
        <mrow>
         <mo>(</mo>
         <mrow>
          <mrow>
           <mi mathcolor=""#443399"">700nm</mi>
           <mo>-</mo>
           <mi mathcolor=""#443399"">550nm</mi>
          </mrow>
         </mrow>
         <mo>)</mo>
        </mrow>
        <mo>&amp;InvisibleTimes;</mo>
        <mrow>
         <mo>(</mo>
         <mrow>
          <mfrac>
           <mrow>
            <mi mathcolor=""#443399"">700nm</mi>
           </mrow>
           <mrow>
            <mi mathcolor=""#443399"">670nm</mi>
           </mrow>
          </mfrac>
         </mrow>
         <mo>)</mo>
        </mrow>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mn>1</mn>
         <mo>+</mo>
         <mn>0.16</mn>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>&amp;InvisibleTimes;</mo>
      <mfrac>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">800nm</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">670nm</mi>
         </mrow>
        </mrow>
       </mrow>
       <mrow>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">800nm</mi>
          <mo>+</mo>
          <mrow>
           <mi mathcolor=""#443399"">670nm</mi>
           <mo>+</mo>
           <mn>0.16</mn>
          </mrow>
         </mrow>
        </mrow>
       </mrow>
      </mfrac>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"34","Mid-infrared vegetation index","MVI","http://www.indexdatabase.de/db/i-single.php?id=541","(band_9)/(band_11)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">[700:1300]</mi>
   </mrow>
   <mrow>
    <mi mathcolor=""#443399"">[1570:1780]</mi>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"35","Misra Green Vegetation Index","MGVI","http://www.indexdatabase.de/db/i-single.php?id=571","-0.386*band_3-0.530*band_4+0.535*band_6+0.532*band_9","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mrow>
     <mn>-0.386</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[500:600]</mi>
    </mrow>
    <mo>-</mo>
    <mrow>
     <mn>0.530</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[600:700]</mi>
    </mrow>
   </mrow>
   <mo>+</mo>
   <mrow>
    <mrow>
     <mn>0.535</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[700:800]</mi>
    </mrow>
    <mo>+</mo>
    <mrow>
     <mn>0.532</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[800:1100]</mi>
    </mrow>
   </mrow>
  </mrow>
 </mrow>
</math>"
"36","Misra Non Such Index","MNSI","http://www.indexdatabase.de/db/i-single.php?id=573","0.404*band_3-0.039*band_4-0.505*band_6+0.762*band_9","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mrow>
     <mn>0.404</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[500:600]</mi>
    </mrow>
    <mo>-</mo>
    <mrow>
     <mrow>
      <mn>0.039</mn>
      <mo>&amp;InvisibleTimes;</mo>
      <mi mathcolor=""#443399"">[600:700]</mi>
     </mrow>
     <mo>-</mo>
     <mrow>
      <mn>0.505</mn>
      <mo>&amp;InvisibleTimes;</mo>
      <mi mathcolor=""#443399"">[700:800]</mi>
     </mrow>
    </mrow>
   </mrow>
   <mo>+</mo>
   <mrow>
    <mn>0.762</mn>
    <mo>&amp;InvisibleTimes;</mo>
    <mi mathcolor=""#443399"">[800:1100]</mi>
   </mrow>
  </mrow>
 </mrow>
</math>"
"37","Misra Soil Brightness Index","MSBI","http://www.indexdatabase.de/db/i-single.php?id=570","0.406*band_3+0.600*band_4+0.645*band_6+0.243*band_9","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mn>0.406</mn>
    <mo>&amp;InvisibleTimes;</mo>
    <mi mathcolor=""#443399"">[500:600]</mi>
   </mrow>
   <mo>+</mo>
   <mrow>
    <mrow>
     <mn>0.600</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[600:700]</mi>
    </mrow>
    <mo>+</mo>
    <mrow>
     <mrow>
      <mn>0.645</mn>
      <mo>&amp;InvisibleTimes;</mo>
      <mi mathcolor=""#443399"">[700:800]</mi>
     </mrow>
     <mo>+</mo>
     <mrow>
      <mn>0.243</mn>
      <mo>&amp;InvisibleTimes;</mo>
      <mi mathcolor=""#443399"">[800:1100]</mi>
     </mrow>
    </mrow>
   </mrow>
  </mrow>
 </mrow>
</math>"
"38","Misra Yellow Vegetation Index","MYVI","http://www.indexdatabase.de/db/i-single.php?id=572","0.723*band_3-0.597*band_4+0.206*band_6-0.278*band_9","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mrow>
     <mn>0.723</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[500:600]</mi>
    </mrow>
    <mo>-</mo>
    <mrow>
     <mn>0.597</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[600:700]</mi>
    </mrow>
   </mrow>
   <mo>+</mo>
   <mrow>
    <mrow>
     <mn>0.206</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[700:800]</mi>
    </mrow>
    <mo>-</mo>
    <mrow>
     <mn>0.278</mn>
     <mo>&amp;InvisibleTimes;</mo>
     <mi mathcolor=""#443399"">[800:1100]</mi>
    </mrow>
   </mrow>
  </mrow>
 </mrow>
</math>"
"39","mND680","mND680","http://www.indexdatabase.de/db/i-single.php?id=259","(band_8-band_4)/(band_8+band_4-2*band_1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">680nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">680nm</mi>
       <mo>-</mo>
       <mrow>
        <mn>2</mn>
        <mo>&amp;InvisibleTimes;</mo>
        <mi mathcolor=""#443399"">445nm</mi>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"40","Modified Chlorophyll Absorption in Reflectance Index","MCARI","http://www.indexdatabase.de/db/i-single.php?id=41","((band_5-band_4)-0.2*(band_5-band_3))*((band_5)/(band_4))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mrow>
         <mi mathcolor=""#443399"">700nm</mi>
         <mo>-</mo>
         <mi mathcolor=""#443399"">670nm</mi>
        </mrow>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>-</mo>
      <mrow>
       <mn>0.2</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mrow>
        <mo>(</mo>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">700nm</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">550nm</mi>
         </mrow>
        </mrow>
        <mo>)</mo>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
    <mo>)</mo>
   </mrow>
   <mo>&amp;InvisibleTimes;</mo>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mfrac>
      <mrow>
       <mi mathcolor=""#443399"">700nm</mi>
      </mrow>
      <mrow>
       <mi mathcolor=""#443399"">670nm</mi>
      </mrow>
     </mfrac>
    </mrow>
    <mo>)</mo>
   </mrow>
  </mrow>
 </mrow>
</math>"
"41","Modified Chlorophyll Absorption in Reflectance Index 1","MCARI1","http://www.indexdatabase.de/db/i-single.php?id=42","1.2*(2.5*(band_8-band_4)-1.3*(band_8-band_3))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mn>1.2</mn>
   <mo>&amp;InvisibleTimes;</mo>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mrow>
      <mrow>
       <mn>2.5</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mrow>
        <mo>(</mo>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">800nm</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">670nm</mi>
         </mrow>
        </mrow>
        <mo>)</mo>
       </mrow>
      </mrow>
      <mo>-</mo>
      <mrow>
       <mn>1.3</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mrow>
        <mo>(</mo>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">800nm</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">550nm</mi>
         </mrow>
        </mrow>
        <mo>)</mo>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
    <mo>)</mo>
   </mrow>
  </mrow>
 </mrow>
</math>"
"42","Modified NDVI","mNDVI","http://www.indexdatabase.de/db/i-single.php?id=164","(band_8-band_4)/(band_8+band_4-2*band_1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">680nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">680nm</mi>
       <mo>-</mo>
       <mrow>
        <mn>2</mn>
        <mo>&amp;InvisibleTimes;</mo>
        <mi mathcolor=""#443399"">445nm</mi>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"43","Modified Simple Ratio","mSR","http://www.indexdatabase.de/db/i-single.php?id=167","(band_8-band_1)/(band_4-band_1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">445nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">680nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">445nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"44","Modified Simple Ratio 670,800","MSR670","http://www.indexdatabase.de/db/i-single.php?id=110","((band_8)/(band_4)-1)/(sqrt((band_8)/(band_4)+1))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mfrac>
       <mrow>
        <mi mathcolor=""#443399"">800nm</mi>
       </mrow>
       <mrow>
        <mi mathcolor=""#443399"">670nm</mi>
       </mrow>
      </mfrac>
      <mo>-</mo>
      <mn>1</mn>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <msqrt>
     <mrow>
      <mfrac>
       <mrow>
        <mi mathcolor=""#443399"">800nm</mi>
       </mrow>
       <mrow>
        <mi mathcolor=""#443399"">670nm</mi>
       </mrow>
      </mfrac>
      <mo>+</mo>
      <mn>1</mn>
     </mrow>
    </msqrt>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"45","Modified Simple Ratio NIR/RED","MSRNir-Red","http://www.indexdatabase.de/db/i-single.php?id=362","(((band_8)/(band_4))-1)/(sqrt(((band_8)/(band_4))+1))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mfrac>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
         </mrow>
         <mrow>
          <mi mathcolor=""#443399"">RED</mi>
         </mrow>
        </mfrac>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>-</mo>
      <mn>1</mn>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <msqrt>
     <mrow>
      <mrow>
       <mo>(</mo>
       <mrow>
        <mfrac>
         <mrow>
          <mi mathcolor=""#443399"">NIR</mi>
         </mrow>
         <mrow>
          <mi mathcolor=""#443399"">RED</mi>
         </mrow>
        </mfrac>
       </mrow>
       <mo>)</mo>
      </mrow>
      <mo>+</mo>
      <mn>1</mn>
     </mrow>
    </msqrt>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"46","Modified Triangular Vegetation Index 1","MTVI1","http://www.indexdatabase.de/db/i-single.php?id=46","1.2*(1.2*(band_8-band_3)-2.5*(band_4-band_3))","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mrow>
   <mn>1.2</mn>
   <mo>&amp;InvisibleTimes;</mo>
   <mrow>
    <mo>(</mo>
    <mrow>
     <mrow>
      <mrow>
       <mn>1.2</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mrow>
        <mo>(</mo>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">800nm</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">550nm</mi>
         </mrow>
        </mrow>
        <mo>)</mo>
       </mrow>
      </mrow>
      <mo>-</mo>
      <mrow>
       <mn>2.5</mn>
       <mo>&amp;InvisibleTimes;</mo>
       <mrow>
        <mo>(</mo>
        <mrow>
         <mrow>
          <mi mathcolor=""#443399"">670nm</mi>
          <mo>-</mo>
          <mi mathcolor=""#443399"">550nm</mi>
         </mrow>
        </mrow>
        <mo>)</mo>
       </mrow>
      </mrow>
     </mrow>
    </mrow>
    <mo>)</mo>
   </mrow>
  </mrow>
 </mrow>
</math>"
"47","Norm G","Norm G","http://www.indexdatabase.de/db/i-single.php?id=50","(band_3)/(band_8+band_5+band_3)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">G</mi>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">R</mi>
       <mo>+</mo>
       <mi mathcolor=""#443399"">G</mi>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"48","Norm NIR","Norm NIR","http://www.indexdatabase.de/db/i-single.php?id=51","(band_8)/(band_8+band_5+band_3)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">NIR</mi>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">R</mi>
       <mo>+</mo>
       <mi mathcolor=""#443399"">G</mi>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"49","Norm R","Norm R","http://www.indexdatabase.de/db/i-single.php?id=52","(band_5)/(band_8+band_5+band_3)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mi mathcolor=""#443399"">R</mi>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">NIR</mi>
      <mo>+</mo>
      <mrow>
       <mi mathcolor=""#443399"">R</mi>
       <mo>+</mo>
       <mi mathcolor=""#443399"">G</mi>
      </mrow>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"50","Normalized Difference 550/450 Plant pigment ratio","PPR","http://www.indexdatabase.de/db/i-single.php?id=483","(band_3-band_1)/(band_3+band_1)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">550nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">450nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">550nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">450nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"51","Normalized Difference 550/650 Photosynthetic vigour ratio","PVR","http://www.indexdatabase.de/db/i-single.php?id=484","(band_3-band_4)/(band_3+band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">550nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">650nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">550nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">650nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"52","Normalized Difference 774/677","ND774-677","http://www.indexdatabase.de/db/i-single.php?id=563","(band_7-band_4)/(band_7+band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">774nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">677nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">774nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">677nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"53","Normalized Difference 780/550 Green NDVI hyper","GNDVIhyper","http://www.indexdatabase.de/db/i-single.php?id=400","(band_7-band_3)/(band_7+band_3)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">780nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">550nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">780nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">550nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"54","Normalized Difference 782/666","ND782-666","http://www.indexdatabase.de/db/i-single.php?id=385","(band_7-band_4)/(band_7+band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">782nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">666nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">782nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">666nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"55","Normalized Difference 790/670","ND790-670","http://www.indexdatabase.de/db/i-single.php?id=278","(band_7-band_4)/(band_7+band_4)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">790nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">670nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">790nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">670nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"56","Normalized Difference 800/2170","ND800-2170","http://www.indexdatabase.de/db/i-single.php?id=462","(band_8-band_12)/(band_8+band_12)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">2170nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">2170nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"57","Normalized Difference 800/470 Pigment specific normalised difference C2","PSNDc2","http://www.indexdatabase.de/db/i-single.php?id=306","(band_8-band_2)/(band_8+band_2)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">470nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">470nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
"58","Normalized Difference 800/500 Pigment specific normalised difference C1","PSNDc1","http://www.indexdatabase.de/db/i-single.php?id=286","(band_8-band_2)/(band_8+band_2)","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
 <mrow>
  <mfrac>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>-</mo>
      <mi mathcolor=""#443399"">500nm</mi>
     </mrow>
    </mrow>
   </mrow>
   <mrow>
    <mrow>
     <mrow>
      <mi mathcolor=""#443399"">800nm</mi>
      <mo>+</mo>
      <mi mathcolor=""#443399"">500nm</mi>
     </mrow>
    </mrow>
   </mrow>
  </mfrac>
 </mrow>
</math>"
